name,albumID,trackNumber,releaseDate,spotifyURL
Hidden Agenda - New Mix,65,13,2008-11-24,spotify:track:40rOKDgEB0PoedLUQELRFi
Roar,573,1,2013-10-18,spotify:track:6F5c58TMEs1byxUstkzVeM
Time After Time,5050,4,1983,spotify:track:5tzbM8m70V977Ezpfk8IPS
Freak On a Leash,68,2,1998-08-18,spotify:track:6W21LNLz9Sw7sUSNWMSHRu
Chulu Chululu,69,14,1964-01-01,spotify:track:5YDP1MSGDD5k0pm7j5KjMM
Video Killed The Radio Star,6916,2,1980-01-10,spotify:track:6t1FIJlZWTQfIZhsGjaulM
Lay Down (Candles In The Rain) - Long Version,71,20,1998-02-18,spotify:track:1mVTTCmWniYZrjHwHRqWyw
Poker Face,7147,4,2008-01-01,spotify:track:1QV6tiMFM6fSOKOGLMHYYg
Vegas Girl,73,1,2012-07-20,spotify:track:7K5u9x1qd2WyEkTN7ntm1A
American Boy (feat. Kanye West),5113,3,2008-03-28,spotify:track:41on8RwRh22IHcChAN2gm8
Harder To Breathe,716,1,2002,spotify:track:4V9JDRqKjN8F2HWdlEDxvI
Dead And Gone,3524,16,2008-09-07,spotify:track:7IhsLJMqdxoo7YAZjaSMru
If,77,6,1993-05-18,spotify:track:0t414ewhjcIiuPVF3QECz2
Truth Hurts,78,13,2019-04-18,spotify:track:2DJpq0JJbGiBuQ3S5TDpPD
Be Mine!,4768,6,2007-04-02,spotify:track:4zCWUhwXEgXrUY2C0hBfl2
1 Thing,80,3,2008,spotify:track:6ZyNjT2hYvfV5PuW84dp1E
One Way Ticket,81,1,2005-11-28,spotify:track:44x9GdJsYmbaYRBm8ROyfL
Two Faces Have I,82,1,2014-01-10,spotify:track:3YKQqwURGKQnxk9TKfq1gE
Freedom,5270,5,1984-10-23,spotify:track:0PhU6i6Kei6x0CH3jocvA3
Lido Shuffle,84,9,1976,spotify:track:2NtqZmfRIDkXJ2YvY2Kv1F
Slice of Heaven,85,18,2009-10-30,spotify:track:2DLkQzNRBgaAbCX4MscyTC
Stone,86,1,2015-12-08,spotify:track:10pSiR20z5pY7a80uysJ3P
Tell Him (Duet with Barbra Streisand),4400,6,1997-10-24,spotify:track:1jeWrScZZuhw3b55T1fv4O
The Nips Are Getting Bigger,88,1,1979-11-01,spotify:track:0uOKq55dztn2zNxpORp9F2
Dance Wiv Me - Radio Edit,89,1,2008,spotify:track:1XNvUrCop20hAWfROW1CoV
Love Shack - Edit; 2019 Remaster,90,12,1989-06-27,spotify:track:0LzeivEHO16a8eBQGlpVkE
Country Grammar (Hot Shit),725,4,2000-06-27,spotify:track:5pZrTiyyerSGHUJExDCOxZ
Instant Crush (feat. Julian Casablancas),92,5,2013-05-20,spotify:track:2cGxRwrMyEAp8dEbuZaVv6
Michelle,93,11,2015-05-04,spotify:track:1ezeinbhS1HhWzA8yQIzA7
Things That Make You Go Hmmm,94,13,2015-10-30,spotify:track:56zrJ2upO5VssMnqowOZOH
Hush Hush; Hush Hush / I Will Survive - Medley,95,1,2009-01-01,spotify:track:2H9CKpZiLDF223BbwehpDF
Second Solution,5022,3,1999-01-15,spotify:track:1kj3ASwCuqDnzehRd3WIz3
You're The Best Thing,97,10,1984-01-01,spotify:track:0SZIQOLgjT6awjwInBsSjV
